a,b,c,d
4,0.03,0,1.134
4,0.028,0,1.104
4,0.026,0,1.171
4,0.024,0,1.242
4,0.022,0,1.174
8,0.03,0,1.233
8,0.028,0,1.323
8,0.026,0,1.372
8,0.024,0,1.248
8,0.022,0,1.199
12,0.03,0,1.502
12,0.028,0,1.328
12,0.026,0,1.479
12,0.024,0,1.386
12,0.022,0,1.302
24,0.03,0,1.719
24,0.028,0,1.785
24,0.026,0,1.942
24,0.024,0,1.957
24,0.022,0,1.963
4,0.03,1,1.009
4,0.028,1,1.042
4,0.026,1,1.064
4,0.024,1,1.047
4,0.022,1,1.134
8,0.03,1,1.257
8,0.028,1,1.265
8,0.026,1,1.387
8,0.024,1,1.189
8,0.022,1,1.269
12,0.03,1,1.406
12,0.028,1,1.398
12,0.026,1,1.429
12,0.024,1,1.486
12,0.022,1,1.507
24,0.03,1,1.767
24,0.028,1,1.872
24,0.026,1,1.905
24,0.024,1,1.825
24,0.022,1,1.808